_step,eval_loss,train_loss,smoothed_loss,lr
67,,8.1494,8.4406,9.9e-05
68,,8.2192,8.3926,0.000101
68,,8.2192,8.3926,0.000101
69,,8.0366,8.3411,0.000102
69,,8.0366,8.3411,0.000102
70,,8.1011,8.294,0.000104
70,,8.1011,8.294,0.000104
71,,8.0562,8.2493,0.000105
71,,8.0562,8.2493,0.000105
72,,7.9536,8.1866,0.000107
72,,7.9536,8.1866,0.000107
73,,7.9663,8.1409,0.000108
73,,7.9663,8.1409,0.000108
74,,7.876,8.0955,0.00011
74,,7.876,8.0955,0.00011
75,,7.8823,8.0557,0.000111
75,,7.8823,8.0557,0.000111
76,,7.8486,8.0089,0.000113
76,,7.8486,8.0089,0.000113
77,,7.7915,7.9731,0.000114
77,,7.7915,7.9731,0.000114
78,,7.6924,7.9205,0.000116
78,,7.6924,7.9205,0.000116
79,,7.6289,7.8797,0.000117
79,,7.6289,7.8797,0.000117
80,,7.7109,7.8407,0.000119
80,,7.7109,7.8407,0.000119
81,,7.5967,7.7947,0.00012
81,,7.5967,7.7947,0.00012
82,,7.5469,7.7541,0.000122
82,,7.5469,7.7541,0.000122
83,,7.5234,7.7098,0.000123
83,,7.5234,7.7098,0.000123
84,,7.4951,7.6717,0.000125
84,,7.4951,7.6717,0.000125
85,,7.438,7.6272,0.000126
85,,7.438,7.6272,0.000126
86,,7.4404,7.5864,0.000127
86,,7.4404,7.5864,0.000127
87,,7.4126,7.5485,0.000129
87,,7.4126,7.5485,0.000129
88,,7.335,7.5128,0.00013
88,,7.335,7.5128,0.00013
89,,7.3867,7.4886,0.000132
89,,7.3867,7.4886,0.000132
90,,7.2139,7.4389,0.000133
90,,7.2139,7.4389,0.000133
91,,7.2607,7.4053,0.000135
91,,7.2607,7.4053,0.000135
92,,7.2456,7.3751,0.000136
92,,7.2456,7.3751,0.000136
93,,7.2397,7.3468,0.000138
93,,7.2397,7.3468,0.000138
94,,7.0957,7.3068,0.000139
94,,7.0957,7.3068,0.000139
95,,7.1699,7.28,0.000141
95,,7.1699,7.28,0.000141
96,,7.1655,7.2525,0.000142
96,,7.1655,7.2525,0.000142
97,,7.084,7.2197,0.000144
97,,7.084,7.2197,0.000144
98,,6.9971,7.1859,0.000145
98,,6.9971,7.1859,0.000145
99,,6.9707,7.1443,0.000147
99,,6.9707,7.1443,0.000147
100,,6.9189,7.1148,0.000148
100,,6.9189,7.1148,0.000148
101,,6.8403,7.0728,0.00015
101,,6.8403,7.0728,0.00015
102,,6.8257,7.0308,0.000151
102,,6.8257,7.0308,0.000151
103,,6.8174,6.9885,0.000153
103,,6.8174,6.9885,0.000153
104,,6.7295,6.9519,0.000154
104,,6.7295,6.9519,0.000154
105,,6.752,6.9101,0.000156
105,,6.752,6.9101,0.000156
106,,6.7598,6.8695,0.000157
106,,6.7598,6.8695,0.000157
107,,6.6558,6.8267,0.000159
107,,6.6558,6.8267,0.000159
108,,6.5205,6.7791,0.00016
108,,6.5205,6.7791,0.00016
109,,6.6172,6.7437,0.000162
109,,6.6172,6.7437,0.000162
110,,6.7563,6.7274,0.000163
110,,6.7563,6.7274,0.000163
111,,6.522,6.6956,0.000165
111,,6.522,6.6956,0.000165
112,,6.7705,6.6901,0.000166
112,,6.7705,6.6901,0.000166
113,,6.6997,6.6783,0.000167
113,,6.6997,6.6783,0.000167
114,,6.6655,6.6719,0.000169
114,,6.6655,6.6719,0.000169
115,,6.6343,6.6602,0.00017
115,,6.6343,6.6602,0.00017
116,,6.6245,6.6466,0.000172
116,,6.6245,6.6466,0.000172
117,,6.605,6.6416,0.000173
117,,6.605,6.6416,0.000173
118,,6.4268,6.6322,0.000175
118,,6.4268,6.6322,0.000175
119,,6.5723,6.6277,0.000176
119,,6.5723,6.6277,0.000176
120,,6.584,6.6104,0.000178
120,,6.584,6.6104,0.000178
121,,6.5381,6.6121,0.000179
121,,6.5381,6.6121,0.000179
122,,6.541,6.5891,0.000181
122,,6.541,6.5891,0.000181
123,,6.4834,6.5675,0.000182
123,,6.4834,6.5675,0.000182
124,,6.4087,6.5418,0.000184
124,,6.4087,6.5418,0.000184
125,,6.3574,6.5141,0.000185
125,,6.3574,6.5141,0.000185
126,,6.5029,6.502,0.000187
126,,6.5029,6.502,0.000187
127,,6.3184,6.4733,0.000188
127,,6.3184,6.4733,0.000188
128,,6.3276,6.4634,0.00019
128,,6.3276,6.4634,0.00019
129,,6.374,6.4436,0.000191
129,,6.374,6.4436,0.000191
130,,6.353,6.4205,0.000193
130,,6.353,6.4205,0.000193
131,,6.3164,6.3983,0.000194
131,,6.3164,6.3983,0.000194
132,,6.1382,6.358,0.000196
132,,6.1382,6.358,0.000196
133,,6.2686,6.3365,0.000197
133,,6.2686,6.3365,0.000197
134,,6.3755,6.3332,0.000199
134,,6.3755,6.3332,0.000199
135,,6.3857,6.336,0.0002
135,,6.3857,6.336,0.0002
136,,6.2632,6.3121,0.000202
136,,6.2632,6.3121,0.000202
137,,6.1294,6.2932,0.000203
137,,6.1294,6.2932,0.000203
138,,6.2583,6.2862,0.000205
138,,6.2583,6.2862,0.000205
139,,6.1846,6.2673,0.000206
139,,6.1846,6.2673,0.000206
140,,6.2183,6.2538,0.000208
140,,6.2183,6.2538,0.000208
141,,6.2227,6.2444,0.000209
141,,6.2227,6.2444,0.000209
142,,6.1709,6.2477,0.00021
142,,6.1709,6.2477,0.00021
143,,6.3594,6.2568,0.000212
143,,6.3594,6.2568,0.000212
144,,6.2734,6.2466,0.000213
144,,6.2734,6.2466,0.000213
